term,coef,pvalue
const,68.92508579744276,1.706967085890664e-14
BFC (%),-59.58001610957973,1.515508509353138e-10
Temperature (째C),-0.09066903378042536,7.556810162736163e-10
Duration (min),-0.1447516739434267,0.5792010016207281
BFC (%)*Temperature (째C),0.04574391585611372,1.624875525040713e-13
BFC (%)*Duration (min),-0.0937183882396652,0.2065729477916329
Temperature (째C)*Duration (min),0.00012781136648654378,0.16926786656623458
BFC (%)^2,16.537182454646732,0.0022574486671534206
Temperature (째C)^2,2.4466636194801768e-05,0.0035746562412049426
Duration (min)^2,0.0010188086652556817,0.744344799469086
